ID	LOC	NAME	URL	TITLE	DESC
100	K05/K06	Ben Armstrong		"Sales assorted computers, phones, and other related electronics"	"Sales assorted computers, phones, and other related electronics"
101	M08/M09/M10	2TailedFox	None	2TailedFox Games	A bit of everything. Commodore machines. Atari machines. IBM compatible machines and accessories. A few games pc and console. Etc.
102	A11/A12	Black Bag	https://www.blackbag.us/vc/	Black Bag Hardware Items for Sale/Trade	"Assorted PC/Mac/Other items for sale/trade including GRiDCASE laptop, SGI monitor, Sun Blade 100, SCSI enclosures, vintage Mac systems, motherboards, 16 bit cards, more."
103	R23/R24	Jim Happel / jim_64 and friends		Commodore 8-bits	Various Commodore computers
105	E02	Auramarket IN	https://www.ebay.com/usr/auramarket-in	offering Japanese vintage and retro goodies from the 80's to early 2000's	"Offering quality goods from Japan (vintage Japanese console, games and some other electronics - including special editions) and accesories produced only in japan such as keychains, tv tuners for consoles, portable music players, portable consumer electronics tha created memories for all of us from the 80s to early 2000s. We will bringing mostly games consoles, titles from 3rd generation up to the 7th generation (almost retro). Also, since we are specialized in handhelds we offer some repairs or parts people may need to get their consoles up and running with original parts."
106	C18/C19	Aaron Polivka		IBM PS/2 Obsolete Networking	"Here's your chance to see a fully working IBM PS/2 microchannel based token ring network running operating systems such as Banyan Vines, OS/2 Warp Server, LAN/DP and Novell Netware. We can demonstrate how diehard IBMers of the 80s and 90s used IBM's proprietary systems to network their offices."
107	L06	Action Retro	https://www.youtube.com/@ActionRetro	Totally Normal Computing	"Various strange and unusual computers as seen on the Action Retro YouTube channel. Expect frightfully upgraded Macintoshes, and perhaps something running the Haiku OS!"
110	S06	Dan Beaver		Amiga Passion	Vintage Amiga Computers and Accessories on exhibit and for sale
111	L01	Adrian Black / Adrian's Digital Basement	https://www.youtube.com/@adriansdigitalbasement	Adrian Black from Adrian's Digital Basement	"I'll bring myself, Rammy and a few fun machines that have been featured on the channel."
112	Z35/Z36	Tim Williams		PC Bits (90’s+)	"Variety of 1990’s-era PC components from complete systems to video cards, sound cards, hard disks, CRT’s, keyboards and mice. Almost everything is tested and everything is guaranteed."
113	T07	Andy Geppert	www.core64.io	Core64 + 6502 + Neon Pixels	"Check-out a hands-on exhibit celebrating 50 years of the 6502 with 6502-controlled Core Memory, plasma Neon Pixels, and a Core64 configured as a MIDI grid controller!"
114	B16	Crazy Aaron's PC Parts		"Surplus PC hardware - motherboards, add-in cards, peripherals, etc."	"Surplus PC hardware - motherboards, add-in cards, peripherals, etc."
115	N08/N09/N10	Atari BBS Gurus	https://www.ataribbs.com	Showcasing Atari BBSing in the modern era.	"Retro and modern Atari BBSing as well as some Atari rare and unique items like a Super STacy, Vampire V4 running an Atari OS and others all with interactive displays."
117	M05	Allan DeYong		Nintendo 64 Free Play	"Nintendo 64 with 4 controllers, a library of games and a period-correct TV will provide you and up to 3 of your friends with as much turn-of-the-millennium gaming as you care to enjoy!"
118	S07	Luke Marr		Class of 2030	A collection of Macintosh and Tandy
120	E01/E24	Maiden Ariana of Retro Alcove	https://retroalcove.com	Retro Alcove w/MaidenAriana presents TWEAK: TradeWars2002 Expanded Applications Kernel	Come try TWEAK: TradeWars2002 Expanded Applications Kernel - a modern application that brings shipyards and ship customization to the classic BBS game.
121	L19	DanaDoesStuff		Vintage Macs & Apple Network Server	Vintage Macs & Apple Network Server (tentative)
122	U10/U11	James Balmer		Avatar and Huey: Homemade Vintage Robots	"We are exhibiting two custom homemade autonomous robots. Avatar, built in 1982 is based on the Intel Intelec development system, and Huey, a completely custom robot built around an 80C196 processor. Both are built with various homemade and surplus parts."
123	M01/M22	Ben Gennaria		First Laptops	"First models of laptops from well-known or interesting computer manufacturers including IBM, Apple, Atari, KayPro, and more"
124	L20	BigBadBench	https://www.youtube.com/bigbadbench	BigBadBench's Janky Creations	Sometimes creativity is required to repair and/or upgrade our old systems. Check out some of my enameled wire creations for vintage Macintoshes and PCs.
126	D18	Bill Buzbee	http://www.homebrewcpu.com	Magic-1 HomebrewCPU	"Magic-1 is a homebrew multi-tasking, multi-user minicomputer built from roughly 200 74-series TTL devices using wire-wrap construction. It runs the Minix operating system and has been in continuous operation for more than 20 years. Also appearing will be a newly designed, card-compatible Magic-1 clone built using PCBs."
127	D19/D20/D21	Michael Katz	drones.katzphoto.net	"Minicomputers, HP Calculators from the 70's & 80's and misc. electrnonic stuff for sale."	"I will be demonstrating a PDP-8 minicomputer, a teletype model 33 ASR terminal from the 70, some old HP calculators and selling misc. electronic stuff."
128	A13/A14	Brian L. Stuart	http://cs.drexel.edu/~bls96/eniac/	Experiencing the ENIAC	"The ENIAC was one of the earliest Turing-complete machines and was a major influence on all computers that came after. This exhibit features a detailed simulator of the ENIAC with multiple modes of visualization, including a first-person video game-like experience, a stereo 3d visualization, and the Tilt Five augmented reality system."
129	A09/A10	Walker Computer Solutions	Facebook.com/walkercomputersol	"ESD Safe Weller, and Lindstrom Cutters and Pliers for board repairs and Laptops and Micro PC sales"	"Selling Cutters and various support items for the show, and Computer Sales"
130	D06	r12freon	r-12.net	"NeXTstation Color, 8-Bits + Stuff for Sale"	"NeXT slab running the Doom level editor used by Id, a Commodore 64 and Apple IIe with plenty of disks, plus more for sale."
131	D04	Brian Johnson		Z80 Systems	"A display featuring early 80's z80 systems, including a NABU PC, Epson's QX-10 computer and an Ann Arbor Ambassador Terminal."
132	P17	Bryce Wilson	https://github.com/gummyworm/monster	Monster: a modern native assembly development environment for the Commodore Vic-20	Try out a powerful development tool almost a decade in the making.
